札幌市,43.063042,141.354309
青森市,40.82296,140.74733
盛岡市,39.701561,141.154343
仙台市,38.267941,140.869537
秋田市,39.719879,140.102921
山形市,38.255459,140.339767
福島市,37.76046,140.472763
水戸市,36.365852,140.471588
宇都宮市,36.555115,139.882599
前橋市,36.389858,139.06311
さいたま市,35.860851,139.645523
千葉市,35.607719,140.106445
新宿区,35.693901,139.70343
横浜市,35.44318,139.637344
新潟市,37.916149,139.036362
富山市,36.695351,137.213165
金沢市,36.56105,136.656494
福井市,36.063869,136.219131
甲府市,35.656212,138.567978
長野市,36.648529,138.194672
岐阜市,35.423241,136.760803
静岡市,34.975208,138.383331
名古屋市,35.180939,136.90654
津市,34.71851,136.505066
大津市,35.01833,135.854187
京都市,35.008801,135.76767
大阪市,34.693871,135.501282
神戸市,34.690048,135.195877
奈良市,34.685001,135.804718
和歌山市,34.230556,135.170837
鳥取市,35.501148,134.235077
松江市,35.46788,133.04837
岡山市,34.655499,133.919357
広島市,34.385521,132.454468
山口市,34.178089,131.473267
徳島市,34.070091,134.554703
高松市,34.342388,134.046494
松山市,33.8395,132.765274
高知市,33.558891,133.531845
福岡市,33.59008,130.401352
佐賀市,33.263512,130.300888
長崎市,32.750278,129.877777
熊本市,32.803341,130.707291
大分市,33.239445,131.609726
宮崎市,31.907778,131.420273
鹿児島市,31.596861,130.557022
那覇市,26.212374,127.679108